slug	name	url	outcome	flag	steps	duration_seconds	error	log_path
treasure_map	Treasure Map	http://digitalbuccaneer.chals.mctf.io/	error		0	0.3	"AttributeError: st.session_state has no attribute ""logs"". Did you forget to initialize it? More info: https://docs.streamlit.io/develop/concepts/architecture/session-state#initialization"	/Users/andrewkim/Documents/School Files/1 Dig Spring Semester/DATA422/new_final_project/kim_data_project/out/batch_20260423_014119/treasure_map.log
direct_login	Direct Login	https://metaproblems.com/71c5b42eb77639d5224be5589123de30/	error		0	0.3	"AttributeError: st.session_state has no attribute ""logs"". Did you forget to initialize it? More info: https://docs.streamlit.io/develop/concepts/architecture/session-state#initialization"	/Users/andrewkim/Documents/School Files/1 Dig Spring Semester/DATA422/new_final_project/kim_data_project/out/batch_20260423_014119/direct_login.log
door_to_door	Door to Door	http://sizh03dm.chals.mctf.io/	error		0	0.3	"AttributeError: st.session_state has no attribute ""logs"". Did you forget to initialize it? More info: https://docs.streamlit.io/develop/concepts/architecture/session-state#initialization"	/Users/andrewkim/Documents/School Files/1 Dig Spring Semester/DATA422/new_final_project/kim_data_project/out/batch_20260423_014119/door_to_door.log
open_application	Open Application	http://q6axjip9.chals.mctf.io/	error		0	0.3	"AttributeError: st.session_state has no attribute ""logs"". Did you forget to initialize it? More info: https://docs.streamlit.io/develop/concepts/architecture/session-state#initialization"	/Users/andrewkim/Documents/School Files/1 Dig Spring Semester/DATA422/new_final_project/kim_data_project/out/batch_20260423_014119/open_application.log
livestream	Livestream	http://3k8ancty.chals.mctf.io/	error		0	0.3	"AttributeError: st.session_state has no attribute ""logs"". Did you forget to initialize it? More info: https://docs.streamlit.io/develop/concepts/architecture/session-state#initialization"	/Users/andrewkim/Documents/School Files/1 Dig Spring Semester/DATA422/new_final_project/kim_data_project/out/batch_20260423_014119/livestream.log
dot_matrix_destruction	Dot-Matrix Destruction	http://7k80820d.chals.mctf.io/	error		0	0.3	"AttributeError: st.session_state has no attribute ""logs"". Did you forget to initialize it? More info: https://docs.streamlit.io/develop/concepts/architecture/session-state#initialization"	/Users/andrewkim/Documents/School Files/1 Dig Spring Semester/DATA422/new_final_project/kim_data_project/out/batch_20260423_014119/dot_matrix_destruction.log
super_quick_logic_invitational	Super Quick Logic Invitational	http://lb1ycgr5.chals.mctf.io/	error		0	0.3	"AttributeError: st.session_state has no attribute ""logs"". Did you forget to initialize it? More info: https://docs.streamlit.io/develop/concepts/architecture/session-state#initialization"	/Users/andrewkim/Documents/School Files/1 Dig Spring Semester/DATA422/new_final_project/kim_data_project/out/batch_20260423_014119/super_quick_logic_invitational.log
snowfall_wishes	Snowfall Wishes	https://cyberlabhost.com/740df70f80b4f71f937cb582f7b978dd/	error		0	0.3	"AttributeError: st.session_state has no attribute ""logs"". Did you forget to initialize it? More info: https://docs.streamlit.io/develop/concepts/architecture/session-state#initialization"	/Users/andrewkim/Documents/School Files/1 Dig Spring Semester/DATA422/new_final_project/kim_data_project/out/batch_20260423_014119/snowfall_wishes.log
cracking_the_javashop	Cracking the Javashop	http://host5.metaproblems.com:7510/	error		0	0.3	"AttributeError: st.session_state has no attribute ""logs"". Did you forget to initialize it? More info: https://docs.streamlit.io/develop/concepts/architecture/session-state#initialization"	/Users/andrewkim/Documents/School Files/1 Dig Spring Semester/DATA422/new_final_project/kim_data_project/out/batch_20260423_014119/cracking_the_javashop.log
admin_portal	Admin Portal	http://adminportal.chals.mctf.io/	error		0	0.3	"AttributeError: st.session_state has no attribute ""logs"". Did you forget to initialize it? More info: https://docs.streamlit.io/develop/concepts/architecture/session-state#initialization"	/Users/andrewkim/Documents/School Files/1 Dig Spring Semester/DATA422/new_final_project/kim_data_project/out/batch_20260423_014119/admin_portal.log
cookie_crackdown	Cookie Crackdown	http://cookiecrackdown.chals.mctf.io/	error		0	0.3	"AttributeError: st.session_state has no attribute ""logs"". Did you forget to initialize it? More info: https://docs.streamlit.io/develop/concepts/architecture/session-state#initialization"	/Users/andrewkim/Documents/School Files/1 Dig Spring Semester/DATA422/new_final_project/kim_data_project/out/batch_20260423_014119/cookie_crackdown.log
great_paywall	Great Paywall	https://cyberlabhost.com/907d5519f26946a0344a7965bb2a302b/	error		0	0.3	"AttributeError: st.session_state has no attribute ""logs"". Did you forget to initialize it? More info: https://docs.streamlit.io/develop/concepts/architecture/session-state#initialization"	/Users/andrewkim/Documents/School Files/1 Dig Spring Semester/DATA422/new_final_project/kim_data_project/out/batch_20260423_014119/great_paywall.log
trading_places	Trading Places	https://host5.metaproblems.com:7606/	error		0	0.3	"AttributeError: st.session_state has no attribute ""logs"". Did you forget to initialize it? More info: https://docs.streamlit.io/develop/concepts/architecture/session-state#initialization"	/Users/andrewkim/Documents/School Files/1 Dig Spring Semester/DATA422/new_final_project/kim_data_project/out/batch_20260423_014119/trading_places.log
microdosing	Microdosing	http://8af35iq4.chals.mctf.io/	error		0	0.3	"AttributeError: st.session_state has no attribute ""logs"". Did you forget to initialize it? More info: https://docs.streamlit.io/develop/concepts/architecture/session-state#initialization"	/Users/andrewkim/Documents/School Files/1 Dig Spring Semester/DATA422/new_final_project/kim_data_project/out/batch_20260423_014119/microdosing.log
