slug	name	url	outcome	flag	steps	duration_seconds	error	log_path
treasure_map	Treasure Map	http://digitalbuccaneer.chals.mctf.io/	success	MetaCTF{y0u_f0und_7h3_tr34sur3_m4p_4nd_g0t_7h3_f14g}	4	28.0		/Users/andrewkim/Documents/School Files/1 Dig Spring Semester/DATA422/new_final_project/kim_data_project/out/batch_20260503_005241/treasure_map.log
direct_login	Direct Login	https://metaproblems.com/71c5b42eb77639d5224be5589123de30/	success	MetaCTF{inspectors_gonna_inspect}	5	32.4		/Users/andrewkim/Documents/School Files/1 Dig Spring Semester/DATA422/new_final_project/kim_data_project/out/batch_20260503_005241/direct_login.log
door_to_door	Door to Door	http://etdwb5q4.chals.mctf.io/	success	MetaCTF{1n3cure_d1r3ct_c4ndy_r3f3r3nc3s}	7	38.8		/Users/andrewkim/Documents/School Files/1 Dig Spring Semester/DATA422/new_final_project/kim_data_project/out/batch_20260503_005241/door_to_door.log
open_application	Open Application	http://61t71yr0.chals.mctf.io/	success	MetaCTF{g1v3s_m3_acce5s_4lr1ght}	12	48.4		/Users/andrewkim/Documents/School Files/1 Dig Spring Semester/DATA422/new_final_project/kim_data_project/out/batch_20260503_005241/open_application.log
livestream	Livestream	http://u7hhyxr2.chals.mctf.io/	partial		29	286.4		/Users/andrewkim/Documents/School Files/1 Dig Spring Semester/DATA422/new_final_project/kim_data_project/out/batch_20260503_005241/livestream.log
dot_matrix_destruction	Dot-Matrix Destruction	http://w4tfqdk1.chals.mctf.io/	success	MetaCTF{y3ah_xxe_d0e5_r0ck_d0esnt_it?}	10	49.2		/Users/andrewkim/Documents/School Files/1 Dig Spring Semester/DATA422/new_final_project/kim_data_project/out/batch_20260503_005241/dot_matrix_destruction.log
super_quick_logic_invitational	Super Quick Logic Invitational	http://14amlyf9.chals.mctf.io/	partial		31	341.7		/Users/andrewkim/Documents/School Files/1 Dig Spring Semester/DATA422/new_final_project/kim_data_project/out/batch_20260503_005241/super_quick_logic_invitational.log
snowfall_wishes	Snowfall Wishes	https://cyberlabhost.com/740df70f80b4f71f937cb582f7b978dd/	success	MetaCTF{c0ld_h4nds_w4rm_h34rts_st0p_pu771ng_s3nsi7ive_1nf0_1n_7h3_cli3nt_h34rth}	5	31.2		/Users/andrewkim/Documents/School Files/1 Dig Spring Semester/DATA422/new_final_project/kim_data_project/out/batch_20260503_005241/snowfall_wishes.log
cracking_the_javashop	Cracking the Javashop	http://host5.metaproblems.com:7510/	success	MetaCTF{3arly_m0rn1ng_c0ff33_4nd_h4cking}	4	27.7		/Users/andrewkim/Documents/School Files/1 Dig Spring Semester/DATA422/new_final_project/kim_data_project/out/batch_20260503_005241/cracking_the_javashop.log
admin_portal	Admin Portal	http://adminportal.chals.mctf.io/	success	MetaCTF{co0ki3_p0wer3d_p0rt4l}	5	27.6		/Users/andrewkim/Documents/School Files/1 Dig Spring Semester/DATA422/new_final_project/kim_data_project/out/batch_20260503_005241/admin_portal.log
cookie_crackdown	Cookie Crackdown	http://cookiecrackdown.chals.mctf.io/	success	MetaCTF{n0nc0ns3nsu4l_c00ki3_cr4ckd0wn}	3	24.9		/Users/andrewkim/Documents/School Files/1 Dig Spring Semester/DATA422/new_final_project/kim_data_project/out/batch_20260503_005241/cookie_crackdown.log
great_paywall	Great Paywall	https://cyberlabhost.com/907d5519f26946a0344a7965bb2a302b/	success	MetaCTF{p4yw4ll5_4r3_ju5t_d0m}	4	29.2		/Users/andrewkim/Documents/School Files/1 Dig Spring Semester/DATA422/new_final_project/kim_data_project/out/batch_20260503_005241/great_paywall.log
microdosing	Microdosing	http://2jxn3o86.chals.mctf.io/	partial		27	132.8		/Users/andrewkim/Documents/School Files/1 Dig Spring Semester/DATA422/new_final_project/kim_data_project/out/batch_20260503_005241/microdosing.log
