slug	name	url	outcome	flag	steps	duration_seconds	error	log_path
treasure_map	Treasure Map	http://digitalbuccaneer.chals.mctf.io/	success	MetaCTF{y0u_f0und_7h3_tr34sur3_m4p_4nd_g0t_7h3_f14g}	5	97.6		/Users/andrewkim/Documents/School Files/1 Dig Spring Semester/DATA422/new_final_project/kim_data_project/out/batch_20260423_191636/treasure_map.log
direct_login	Direct Login	https://metaproblems.com/71c5b42eb77639d5224be5589123de30/	partial		10	2258.5		/Users/andrewkim/Documents/School Files/1 Dig Spring Semester/DATA422/new_final_project/kim_data_project/out/batch_20260423_191636/direct_login.log
door_to_door	Door to Door	http://sizh03dm.chals.mctf.io/	success	MetaCTF{...}	2	55.6		/Users/andrewkim/Documents/School Files/1 Dig Spring Semester/DATA422/new_final_project/kim_data_project/out/batch_20260423_191636/door_to_door.log
open_application	Open Application	http://gwbbfpm2.chals.mctf.io/	partial		29	1477.1		/Users/andrewkim/Documents/School Files/1 Dig Spring Semester/DATA422/new_final_project/kim_data_project/out/batch_20260423_191636/open_application.log
livestream	Livestream	http://3k8ancty.chals.mctf.io/	success	MetaCTF{...}	2	58.7		/Users/andrewkim/Documents/School Files/1 Dig Spring Semester/DATA422/new_final_project/kim_data_project/out/batch_20260423_191636/livestream.log
dot_matrix_destruction	Dot-Matrix Destruction	http://7k80820d.chals.mctf.io/	partial		32	4218.6		/Users/andrewkim/Documents/School Files/1 Dig Spring Semester/DATA422/new_final_project/kim_data_project/out/batch_20260423_191636/dot_matrix_destruction.log
super_quick_logic_invitational	Super Quick Logic Invitational	http://lb1ycgr5.chals.mctf.io/	failure		18	1722.1		/Users/andrewkim/Documents/School Files/1 Dig Spring Semester/DATA422/new_final_project/kim_data_project/out/batch_20260423_191636/super_quick_logic_invitational.log
snowfall_wishes	Snowfall Wishes	https://cyberlabhost.com/740df70f80b4f71f937cb582f7b978dd/	success	MetaCTF{...}	2	55.0		/Users/andrewkim/Documents/School Files/1 Dig Spring Semester/DATA422/new_final_project/kim_data_project/out/batch_20260423_191636/snowfall_wishes.log
cracking_the_javashop	Cracking the Javashop	http://host5.metaproblems.com:7510/	success	MetaCTF{3arly_m0rn1ng_c0ff33_4nd_h4cking}	4	108.6		/Users/andrewkim/Documents/School Files/1 Dig Spring Semester/DATA422/new_final_project/kim_data_project/out/batch_20260423_191636/cracking_the_javashop.log
admin_portal	Admin Portal	http://8af35iq4.chals.mctf.io/	partial		5	714.9		/Users/andrewkim/Documents/School Files/1 Dig Spring Semester/DATA422/new_final_project/kim_data_project/out/batch_20260423_191636/admin_portal.log
cookie_crackdown	Cookie Crackdown	http://cookiecrackdown.chals.mctf.io/	success	MetaCTF{n0nc0ns3nsu4l_c00ki3_cr4ckd0wn}	3	80.7		/Users/andrewkim/Documents/School Files/1 Dig Spring Semester/DATA422/new_final_project/kim_data_project/out/batch_20260423_191636/cookie_crackdown.log
great_paywall	Great Paywall	https://cyberlabhost.com/907d5519f26946a0344a7965bb2a302b/	success	MetaCTF{...}	2	57.3		/Users/andrewkim/Documents/School Files/1 Dig Spring Semester/DATA422/new_final_project/kim_data_project/out/batch_20260423_191636/great_paywall.log
trading_places	Trading Places	https://host5.metaproblems.com:7606/	success	MetaCTF{...}	2	48.2		/Users/andrewkim/Documents/School Files/1 Dig Spring Semester/DATA422/new_final_project/kim_data_project/out/batch_20260423_191636/trading_places.log
microdosing	Microdosing	http://8af35iq4.chals.mctf.io/	partial		5	768.5		/Users/andrewkim/Documents/School Files/1 Dig Spring Semester/DATA422/new_final_project/kim_data_project/out/batch_20260423_191636/microdosing.log
